term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0043626	PCNA complex	4.608746e-06	0.1753674	8	45.61852	0.0002102441	1.897284e-11	2.875883115789474e-10	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0008537	proteasome activator complex	9.025843e-06	0.3434424	14	40.76375	0.0003679273	2.639045e-18	7.1254215e-17	3	1.971561	3	1.521637	0.0002431118	1.0	0.2838119	0.6654368564450475
GO:0097543	ciliary inversin compartment	5.17552e-06	0.1969337	7	35.54495	0.0001839636	1.918011e-09	2.1382729083870972e-08	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0036266	Cdc48p-Npl4p-Vms1p AAA ATPase complex	5.34368e-06	0.2033324	5	24.59028	0.0001314026	2.445336e-06	1.7533363518672198e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0034998	oligosaccharyltransferase I complex	1.496489e-05	0.5694291	12	21.07374	0.0003153662	1.433323e-12	2.6071390989473683e-11	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0005618	cell wall	6.453061e-06	0.2455454	5	20.36283	0.0001314026	6.064188e-06	4.045913847104247e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0042568	insulin-like growth factor binary complex	1.653314e-05	0.6291025	12	19.07479	0.0003153662	4.486327e-12	7.600365741176469e-11	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:1990913	sperm head plasma membrane	1.08688e-05	0.4135686	7	16.92585	0.0001839636	2.860831e-07	2.3653186449760766e-06	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:1990917	ooplasm	1.08688e-05	0.4135686	7	16.92585	0.0001839636	2.860831e-07	2.3653186449760766e-06	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0098999	extrinsic component of postsynaptic endosome membrane	9.717887e-06	0.3697753	6	16.22607	0.0001576831	2.587966e-06	1.8403313777777774e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0070557	PCNA-p21 complex	3.779246e-05	1.438041	19	13.21242	0.0004993298	2.082777e-15	4.863565751351351e-14	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.7669444015936254
GO:1990617	CHOP-ATF4 complex	2.126137e-05	0.8090163	9	11.12462	0.0002365247	1.979258e-07	1.701571056716418e-06	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.7669444015936254
GO:0005691	U6atac snRNP	1.709004e-05	0.6502932	7	10.76438	0.0001839636	5.53572e-06	3.707645023255814e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:1990730	VCP-NSFL1C complex	6.148058e-05	2.339397	24	10.25905	0.0006307324	1.229505e-16	3.0791081739130435e-15	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.7669444015936254
GO:0098875	epididymosome	1.305522e-05	0.4967641	5	10.06514	0.0001314026	0.0001670269	0.0008719712483383686	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
